,,,,,,,,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),Blank#1_Seg1Ev1,Blank#2_Seg1Ev1,Blank#3_Seg1Ev1,Blank#4_Seg1Ev1,Blank#5_Seg1Ev1,Blank#6_Seg1Ev1,Blank#7_Seg1Ev1,Blank#8_Seg1Ev1,Blank#9_Seg1Ev1,Blank#10_Seg1Ev1,Blank#11_Seg1Ev1,cR8#1_Seg1Ev1,cR8m#1_Seg1Ev1,cR8w#1_Seg1Ev1,cR15#1_Seg1Ev1,cR15m#1_Seg1Ev1,cR15w#1_Seg1Ev1,cR26#1_Seg1Ev1,cR26m#1_Seg1Ev1,cR26w#1_Seg1Ev1,cR27#1_Seg1Ev1,cR27m#1_Seg1Ev1,cR27w#1_Seg1Ev1,cR36-2#1_Seg1Ev1,cR36-2m#1_Seg1Ev1,cR36-2w#1_Seg1Ev1,cR41m#1_Seg1Ev1,cR41w#1_Seg1Ev1,cR44#1_Seg1Ev1,cR44m#1_Seg1Ev1,cR44w#1_Seg1Ev1,cR59#1_Seg1Ev1,cR59m#1_Seg1Ev1,cR59w#1_Seg1Ev1,cR72#1_Seg1Ev1,cR72m#1_Seg1Ev1,cR72w#1_Seg1Ev1
1.43_303.1539m/z,303.1538571,1,1.426666667,0,0,0,0,0,0,0,0,0,0,0,77003.52997,34052.24332,90673.16005,43547.73545,127347.2695,101361.8772,11930.30136,3901.641144,128433.5835,8045.17627,8287.670624,40601.61161,55991.13701,96389.01959,140767.8575,48574.73572,65990.03457,706642.1728,1391801.906,712930.7188,19534.68857,22810.83435,46272.98087,33372.33357,37627.10372,82197.97507
8.12_353.2257m/z,353.2256794,1,8.12,0,0,0,0,0,0,0,0,0,0,0,37971.90941,35646.41092,43562.13014,71040.34795,110671.1245,39573.1326,10379.81656,5949.907349,11481.39841,25857.05408,34039.80847,24914.2196,74163.10968,66399.07913,23256.37048,114068.841,65067.04207,85793.88551,119367.4768,91246.59164,68577.26049,42907.48138,179639.0522,186400.3811,179571.901,244558.1474
0.91_317.1006m/z,317.100567,1,0.906666667,0,0,959.4653931,0,0,0,0,0,0,0,0,58680.82548,70548.72917,53340.11827,55505.60013,74444.75919,94521.4779,45098.57629,33701.15908,46246.17668,115107.0142,171302.0242,141992.6332,38304.52831,30893.26525,39820.43702,59728.8098,50842.95868,38228.53509,43549.52014,44882.98383,63038.42728,102073.5772,56746.4955,44405.19717,65511.42481,35279.49677
0.92_265.0329m/z,265.0328924,1,0.92,0,0,0,0,0,0,0,0,0,0,0,7908.683613,4836.636107,11191.94874,45560.48306,55049.88611,76201.85752,19664.13212,4938.213654,25853.79105,19278.47329,23250.91086,13132.72597,34052.73819,6675.303192,30834.10645,247582.4802,164567.0513,81905.32631,50186.34004,85474.64075,18897.82542,15309.152,13309.49591,49061.95687,35748.91851,39354.5895
0.99_205.0641m/z,205.0641383,1,0.986666667,0,0,0,0,0,0,0,0,0,0,0,2871.153976,1699.216599,4022.528761,27575.79616,20112.77715,22204.66857,16054.69923,9850.601358,4675.27739,1069.052689,505.9687653,1181.754105,1682.036052,3555.04734,3431.014006,1476.090332,686.8057251,14362.7764,18005.08205,10878.28121,1769.298569,2264.841949,1026.035156,78212.39008,47799.97823,24858.81509
0.93_253.0068m/z,253.0067909,1,0.933333333,0,0,0,0,0,0,0,0,0,0,0,27262.16287,13497.87399,41377.3193,4688.74498,6360.108156,7415.093563,1561.115952,449.502243,11776.69494,3262.223816,7023.3909,11281.51004,5109.4384,7448.716736,18748.18425,10736.41764,22116.05056,1481.041534,1067.475647,10898.57637,8278.410172,10968.93222,15141.11693,2008.993973,1967.796478,10511.91882
1.48_274.0954m/z,274.0954287,1,1.48,0,0,0,0,0,0,0,0,0,0,0,1001018.191,616238.3164,1093104.974,841076.1439,840654.7331,413698.3299,45461.48359,11991.96894,114087.77,848219.5757,1152085.854,1375260.978,59675.47751,33609.71164,89060.20997,142662.3718,184999.3407,64680.17027,46501.74051,103652.7992,718367.4058,482481.1782,674237.1506,487174.3224,336250.7912,469187.9781
0.92_335.0118m/z,335.0118251,1,0.92,0,0,0,0,0,0,0,0,0,0,0,6358.984528,2395.371521,9378.982614,4687.401978,3292.804657,2727.362518,2200.518265,3467.35585,2139.996872,1453.182922,1468.667236,2531.250153,6492.538727,2901.386841,6641.220016,9705.179651,10859.5079,4562.965927,6150.157639,9272.870163,1694.374329,6447.110097,4891.842438,10151.50998,8558.43811,4589.226471
1.31_244.1023m/z,244.1023454,1,1.306666667,0,0,33988.88791,0,0,0,0,0,0,0,0,154904.8324,97577.35649,232116.4109,258028.8974,288010.3137,197646.4862,39455.28393,1160.607584,109774.2484,173873.0615,177927.7889,292511.8053,45893.27491,8347.650044,327975.6714,163360.3094,232775.4612,86604.83975,16536.55295,221620.6316,82817.05515,47093.49316,272831.6901,178710.7142,155374.4574,230728.8188
3.83_220.1150m/z,220.1150458,1,3.826666667,0,488.8428594,0,0,0,0,0,0,0,0,0,17458.62363,522.5166626,4785.271298,31108.03842,26137.36221,8298.453918,16386.22879,14812.47641,10445.81174,15164.97492,18720.15808,22007.93854,30666.32843,23784.13353,34808.14626,15186.46636,18081.75151,68683.16817,22665.01617,58931.93055,9034.966766,776.2947083,6669.778061,95120.80595,47404.85599,615.756012
