,,,,,,,,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),Blank#1_Seg1Ev1,Blank#2_Seg1Ev1,Blank#3_Seg1Ev1,Blank#4_Seg1Ev1,Blank#5_Seg1Ev1,Blank#6_Seg1Ev1,Blank#7_Seg1Ev1,Blank#8_Seg1Ev1,Blank#9_Seg1Ev1,Blank#10_Seg1Ev1,Blank#11_Seg1Ev1,cR8#1_Seg1Ev1,cR8m#1_Seg1Ev1,cR8w#1_Seg1Ev1,cR15#1_Seg1Ev1,cR15m#1_Seg1Ev1,cR15w#1_Seg1Ev1,cR26#1_Seg1Ev1,cR26m#1_Seg1Ev1,cR26w#1_Seg1Ev1,cR27#1_Seg1Ev1,cR27m#1_Seg1Ev1,cR27w#1_Seg1Ev1,cR36-2#1_Seg1Ev1,cR36-2m#1_Seg1Ev1,cR36-2w#1_Seg1Ev1,cR41m#1_Seg1Ev1,cR41w#1_Seg1Ev1,cR44#1_Seg1Ev1,cR44m#1_Seg1Ev1,cR44w#1_Seg1Ev1,cR59#1_Seg1Ev1,cR59m#1_Seg1Ev1,cR59w#1_Seg1Ev1,cR72#1_Seg1Ev1,cR72m#1_Seg1Ev1,cR72w#1_Seg1Ev1
9.33_267.0986m/z,267.0985653,1,9.333333333,0,0,791.9804077,0,0,0,0,0,0,0,0,30030.66883,3790.722519,4285.16884,4682.973738,1058.57869,0,0,0,0,0,0,0,621.151825,0,0,15460.33739,3585.778107,4005.235992,0,0,52291.33118,195146.9112,174545.3995,0,0,0
7.67_348.2158m/z,348.2158366,1,7.666666667,0,0,0,0,0,0,0,0,0,0,0,92564.40838,5898.152054,36222.71579,13203.33378,12529.30725,0,0,0,673.3458862,0,0,0,0,0,0,0,0,0,0,0,11274438.15,5657387.585,8163289.428,18613.12338,704.2610779,0
7.15_240.0627m/z,240.0626582,1,7.146666667,0,0,0,0,0,0,0,0,0,0,0,594.847767,0,420.2514648,709.8799709,599.0471497,0,0,0,0,0,0,0,242.2257796,0,0,268033.6053,194713.8192,0,0,0,550.4291953,1916.812592,3123.051208,0,0,0
7.91_359.1761m/z,359.176051,1,7.906666667,0,0,0,0,0,0,0,0,0,0,0,7167.014895,0,0,14771.16234,26108.69389,0,0,0,0,38972.54922,11614.44087,20847.77472,0,0,0,13468.19238,0,0,0,0,28527.91739,22617.52494,31259.27286,0,0,0
15.45_429.3737m/z,429.3736903,1,15.45333333,193.5026931,0,118.349268,0,0,0,0,0,0,0,0,182539.6725,0,0,326361.9144,11798.13059,0,478402.8419,1869.808375,0,0,0,0,617277.3994,774.6619873,0,2098.807098,0,768711.7875,3634.309177,0,0,732.6221439,0,24388.29863,894.8679733,0
12.48_259.1973m/z,259.1972845,1,12.48,0,0,0,0,0,0,0,0,0,0,0,3837.312001,0,0,19951.68308,4083.788958,0,16373.80795,0,0,0,0,0,16599.47007,0,0,4953.753479,0,16745.92334,0,0,1647.076965,0,0,8155.941231,0,0
13.77_381.2976m/z,381.2976178,1,13.77333333,116184.6579,160797.5476,41878.03385,87881.78538,68679.86388,45328.69056,102038.1102,117526.1956,121791.2512,108771.0215,136344.2092,7669.292725,50394.16162,116807.8532,6631.404327,8671.826551,122381.5364,18229.01021,89064.14945,75038.44832,67440.12539,93011.97784,78319.96169,181796.4374,142357.0719,102132.6716,37180.59147,63636.26438,4299.253088,63352.75406,92264.22665,12958.55798,34265.30817,88990.52323,7501.238424,37008.09114,58656.29019
11.69_335.2547m/z,335.2547157,1,11.69333333,0,0,0,0,0,0,0,0,0,0,0,26339.84739,2978.365017,0,13654.87155,4790.94753,0,59005.24531,39122.86562,0,0,0,0,9902.51413,0,0,10525.22209,0,0,0,0,4194.524261,0,0,0,0,0
10.61_518.3289m/z,518.3288832,1,10.61333333,0,0,0,0,0,0,0,0,0,0,0,101883.8917,0,0,22008.05384,7481.09169,0,22920.7852,27053.27104,0,196667.2033,142301.6883,0,17513.44287,0,0,0,0,0,0,0,14453.98772,11685.04149,0,0,0,0
15.27_736.5494m/z,736.5494041,1,15.26666667,0,0,0,0,0,0,0,0,0,0,0,6836.311218,9170.413065,0,0,15128.75895,0,9471.305908,23068.121,0,0,0,0,0,0,0,4540.22821,0,29338.77219,30218.54053,0,0,0,0,867.7681274,29803.17797,0
8.27_199.1332m/z,199.1332431,1,8.266666667,0,0,0,0,0,0,0,0,0,0,0,3716.093442,0,0,19232.58588,4579.663269,0,0,0,0,0,0,0,4104.620806,0,0,0,0,19654.78366,891.0377197,0,5895.314697,0,0,2311.726013,3645.162833,0
10.67_389.2674m/z,389.2674435,1,10.66666667,0,0,0,0,0,0,0,0,0,0,0,45125.64691,9569.019897,0,5504.700348,2292.962341,0,0,0,0,0,0,0,0,11569.74635,0,1780.785277,0,0,0,0,1838.148468,0,0,4728.387197,2918.015778,0
12.33_413.2840m/z,413.2840259,1,12.33333333,4228.961095,6297.451416,1928.425446,2316.351746,2153.773254,1595.777176,1433.673248,1117.95461,2734.133808,1168.135773,1329.167755,0,0,2573.194336,8196.095566,4009.661749,1298.258301,0,2662.133795,0,1698.409497,1532.730225,3954.095795,877.7020569,0,971.2698669,0,1378.778687,4362.748483,1009.844421,1805.900189,0,0,0,2527.402917,604.2703705,2542.226685
4.87_214.0938m/z,214.0938172,1,4.866666667,0,0,0,0,0,0,0,0,0,0,0,2346.852768,0,0,4871.041464,683.2059937,0,0,0,0,4491.071365,921.2921753,3663.763959,17055.0926,0,0,0,0,0,0,0,3614.192886,0,0,12096.26231,0,8150.167804
12.76_379.2821m/z,379.2821307,1,12.76,0,0,0,0,0,0,0,0,0,0,828.5472717,11721.92236,0,0,0,469.1053467,657.5167847,51629.20969,11574.25473,901.6929634,0,0,0,403974.6605,173227.8581,46914.27084,0,0,5759.805549,1693.941833,1544.623718,472.0820313,0,0,0,0,0
7.09_313.1145m/z,313.114509,1,7.093333333,0,0,0,0,0,0,0,0,0,0,0,568.9244995,0,2128.900022,12203.71449,736.9761658,0,0,0,0,0,0,0,1966.037966,3532.920885,0,1138.085632,0,14099.43179,0,0,0,0,0,2027.395766,0,0
3.96_189.1225m/z,189.1225397,1,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14264.73397,7788.334109,5085.666612,11743.89157,0,0,17483.10809,530.1325471,1952.817856,0,0,11242.65137,0,0,2921.372879,0,0,1243.199463
10.64_539.4536m/z,539.453579,1,10.64,0,0,0,0,0,0,0,0,0,0,0,3160.021088,914.9993286,0,553.3130493,5536.974135,0,0,0,0,0,0,0,0,12481.7005,0,0,0,4165.360291,2514.132477,0,0,599.905936,0,7271.500223,2048.770081,0
15.63_592.4998m/z,592.4997834,1,15.62666667,0,0,0,0,0,0,0,0,0,0,0,14932.17983,1371.735107,926.4637451,0,3496.316493,0,0,0,0,0,0,0,6650.256165,0,0,0,0,11375.68835,12913.93011,0,0,0,1060.848999,2333.03186,1789.6096,0
6.36_292.1529m/z,292.1528507,1,6.36,0,0,0,0,0,0,0,0,0,0,0,853.8742676,1895.404388,0,0,0,0,0,0,0,14748.64899,0,1105.665833,0,0,0,375.1240082,489.5784454,647.5388489,0,0,806.6609333,0,0,1421.194153,0,0
4.03_433.1696m/z,433.169567,1,4.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1841.738724,935.9278717,24364.08435,25674.3396,0,0,0,0,3334.037872,6947.469696,0,0,0,0,1604.141632,0,1096.502869,0,0,0,3755.382999,0,0,8300.487593
3.01_274.1603m/z,274.1603296,1,3.013333333,0,0,0,0,0,0,0,0,0,0,0,7829.159485,0,12508.64307,2061.818166,3650.652995,1294.545232,0,0,0,1241.212769,17331.34186,63707.42679,0,0,0,0,0,0,0,0,0,0,9282.338562,0,0,5011.727203
15.04_696.5509m/z,696.5509363,1,15.04,0,0,0,0,0,0,0,0,0,0,0,135601.2608,28405.4555,0,52706.45944,77130.20322,0,40068.32257,50588.3608,0,0,0,0,0,0,0,78161.86716,0,0,894.0914307,0,0,0,0,8387.730368,0,0
14.72_552.4992m/z,552.4992139,1,14.72,0,0,0,0,0,0,0,0,0,0,0,41905.36455,3825.020782,0,87001.43446,4927.005463,0,0,0,0,0,0,0,0,0,0,0,0,31619.28426,13164.70056,0,6089.081268,947.6352844,0,32251.3811,18371.25079,0
7.91_221.1808m/z,221.1808279,1,7.906666667,0,0,0,0,0,0,0,0,0,0,0,45089.76847,24735.09006,43949.44054,7964.271576,22953.30083,0,0,0,0,0,0,0,44201.77635,40333.56754,942.2521667,0,0,1840.702929,0,0,3139.978043,0,0,0,0,0
13.32_423.3579m/z,423.3579333,1,13.32,0,0,0,0,0,0,0,0,0,0,0,18253.56354,443.2293549,0,8053.597595,9491.442381,0,0,0,0,0,0,0,0,0,0,3309.4384,0,78675.58608,8989.19754,0,0,0,0,35666.60185,10955.97397,0
15.05_534.4920m/z,534.492047,1,15.05333333,0,0,0,0,0,0,0,0,0,0,0,84085.58463,12596.76532,0,36125.35696,45637.65271,0,26516.9364,24755.84586,0,0,0,0,0,0,0,44488.42657,0,1004.575836,0,0,0,0,0,950.8822021,0,0
12.72_281.2452m/z,281.2451732,1,12.72,634.1347164,678.8811035,52.18654026,0,0,0,0,0,0,0,0,29467.44193,1012.173309,0,0,799.230011,0,4944.609131,6323.669128,0,0,0,0,75268.57961,305888.9682,13473.79932,2930.584443,0,15173.77667,2422.665985,0,2678.352692,777.4682922,0,29244.46643,2327.024689,0
4.89_211.1065m/z,211.1065214,1,4.893333333,0,0,0,0,0,0,0,0,0,0,0,12295.73547,8948.321804,18920.37573,0,0,0,939.2874146,0,0,0,0,0,0,0,0,0,472.2137756,2012.796844,0,2037.873505,0,0,0,2729.343964,1004.799222,0
13.36_261.1188m/z,261.1188115,1,13.36,0,0,0,0,0,0,0,0,0,0,0,7191.581162,16920.66016,0,2154.80569,1092.493973,0,0,0,0,0,338.3219652,554.8710051,0,0,0,1236.264034,0,671.2899332,671.4671078,0,0,0,0,0,1692.422379,0
7.64_423.1927m/z,423.1926818,1,7.64,0,0,0,0,0,0,0,0,0,0,0,1315.664795,560.9789124,3407.604828,3414.808357,8402.187026,0,0,0,0,0,0,0,0,0,0,522.769367,2527.717151,0,0,0,0,0,0,25043.20197,878.5631409,0
1.65_154.0971m/z,154.0971486,1,1.653333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2856.365891,0,0,0,0,0,0,0,0,587.3363953,0,0,0,26384.19123,29284.56738,0,0,0,0,2355.043549,7489.735941,477.9289703,2964.760803,11198.04539
18.13_641.5174m/z,641.5174311,1,18.13333333,0,0,0,0,0,0,0,0,0,0,0,28438.83222,0,0,0,0,0,133642.1656,0,60249.87759,0,0,0,743697.4443,30260.41555,608279.9551,0,0,12979.03409,0,0,6294.008322,0,0,12833.74882,0,4779.713654
5.77_137.0336m/z,137.0336217,1,5.773333333,0,0,0,0,0,0,0,0,0,0,0,1908.881683,633.0950317,666.228035,0,0,0,0,0,0,0,0,0,321.0934753,544.0645447,0,9505.821487,6124.820763,326.8105316,0,0,0,0,0,460.2958374,0,0
12.12_382.2450m/z,382.2450321,1,12.12,0,0,0,0,0,0,0,0,0,0,0,11677.39487,0,0,1772.898071,3593.770221,0,0,0,0,0,0,0,146164.676,4669.706879,0,876.5208435,0,15924.30868,0,0,2645.949247,0,0,19913.48025,0,0
6.87_319.2045m/z,319.2044929,1,6.866666667,0,0,0,0,0,0,0,0,0,0,0,285.3660703,0,0,7981.951452,5977.440924,0,0,0,0,0,0,0,17484.86355,15020.6619,19178.40015,0,0,436.9859619,0,0,1969.207825,5437.595245,2711.317179,0,0,0
6.44_459.1474m/z,459.1473579,1,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19672.46509,14248.91214,0,0,0,0,0,0,0,0,836.8178101,0,539.5192462,0,61926.50735,35244.50116,29324.2643,0,0,0,17484.6939,12317.00886,9973.127813
4.96_443.1224m/z,443.1223633,1,4.96,0,0,0,0,0,0,0,0,0,0,0,1451.781372,2417.870178,2359.016663,411.494873,545.1609497,0,20909.61417,0,935.1872253,0,0,0,0,751.5308533,0,0,0,0,0,654.0301514,0,0,0,0,0,4272.838262
1.76_119.0523m/z,119.0522878,1,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2830.223343,0,467.9523534,5594.093536,0,564.5698853,3856.272794,406.7050018,0,0,0,0,304.6025391,0,5393.192009,0,253.0451508,3170.779917
10.93_437.3349m/z,437.3349418,1,10.93333333,0,0,0,0,0,0,0,0,0,0,0,24144.8567,749.4034119,0,1210.790527,0,0,0,0,0,0,0,0,17590.15521,750.2041626,0,4288.29308,0,1004.197998,0,0,14547.04412,0,0,10691.70971,0,0
12.40_465.3043m/z,465.3042785,1,12.4,0,0,0,0,0,0,0,0,0,0,0,3509.032486,0,0,8798.436523,10433.35143,0,5688.606476,0,0,0,0,0,28640.73213,0,0,0,0,15359.42337,561.037323,0,131970.7758,113054.0183,0,39120.00906,0,0
13.71_355.0743m/z,355.0742828,1,13.70666667,149099.4737,27128.2671,257770.8278,9736.512416,7657.126099,5384.906309,9316.634094,11090.53656,6490.876831,6583.454285,6692.295288,0,4654.908875,5899.648971,41111.20171,3691.577349,6378.80899,5250.731415,4292.465582,2691.978333,7638.084045,4845.631287,6107.803766,2355.820358,3999.361374,4551.990763,900.5801086,6051.277817,3296.365889,3517.114624,5149.682186,4130.346909,1923.088593,5948.00386,1166.258667,5262.758511,4579.379517
9.21_307.1835m/z,307.1834683,1,9.213333333,0,0,0,0,0,0,0,0,0,0,0,384.4029378,0,0,3152.423257,17365.64575,0,0,0,0,0,0,0,1280.309111,370.0692291,0,0,0,676.5598755,10470.33286,0,861.4467316,570.958252,0,0,1185.631348,0
2.00_370.1710m/z,370.1709616,1,2,0,0,0,0,0,0,0,0,0,0,0,2036.485317,0,7122.903398,0,0,796.1976929,0,0,0,0,65221.00491,94393.33272,0,0,0,5999.680847,14038.58235,0,0,0,0,27572.80177,62255.28894,0,0,2331.309062
2.17_245.0845m/z,245.0845142,1,2.173333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1094.444477,0,0,0,0,0,0,0,0,1714.006882,0,0,0,619.5662537,3024.142746,0,0,0,1878.894379,1534.116058,19784.40404,19112.52628,25204.12985,40495.04912
10.92_417.2456m/z,417.2455653,1,10.92,0,0,0,0,0,0,0,0,0,0,0,18010.64829,57112.76367,0,14637.95205,2321.707611,0,0,0,0,0,873.1863098,0,0,24820.09907,0,0,0,0,0,0,2158.098868,90292.47507,0,7910.178162,1198.676514,0
5.29_358.1924m/z,358.1923885,1,5.293333333,0,0,0,0,0,0,0,0,0,0,0,25414.05381,7412.596481,23708.5752,0,1122.68512,0,0,0,0,0,0,721.1760254,0,0,0,885.1602173,1304.803345,0,0,0,1310.696228,0,1496.927742,550.0601044,0,0
17.25_313.2684m/z,313.2684332,1,17.25333333,0,0,0,0,0,0,0,0,0,0,0,2054.73912,0,285.3939819,0,0,1170.045959,16104.10162,0,3640.575287,0,0,0,0,0,0,0,0,693.0370483,0,0,9062.108215,0,0,7810.497647,974.2913971,1030.147858
9.13_339.1250m/z,339.1249824,1,9.133333333,0,0,2254.428443,0,0,0,0,0,0,0,0,30149.21688,7183.687531,4651.196747,9783.587663,4360.05436,0,0,0,0,0,0,0,4748.691864,0,0,846844.4041,80379.5694,1100.981576,0,0,10797.24635,1736.555862,4206.441345,0,0,0
15.51_630.5113m/z,630.5113396,1,15.50666667,0,0,0,0,0,0,0,0,0,0,0,4442.533783,0,0,0,0,0,76195.18856,6114.093842,19225.22116,0,0,0,900.4638672,0,0,0,0,0,0,0,15430.1655,869.7864075,847.5216675,3094.208588,7096.313782,0
5.36_336.2059m/z,336.2059373,1,5.36,0,0,0,0,0,0,0,0,0,0,0,4450.580476,0,3590.685259,0,0,0,0,0,76036.19521,0,0,2363.761143,0,0,0,417.9163551,1266.318241,0,0,486.8921325,745.2332132,0,4401.416061,0,0,0
9.08_263.1067m/z,263.1067207,1,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.433375,1416.406006,553.9614258,0,0,0,0,0,0,47367.61729,11951.15552,0,1137.43399,0,588.837214,570.6682999,0,3860.345483,2403.745316,0,0,0,0
3.48_304.1491m/z,304.1491396,1,3.48,0,0,0,0,0,0,0,0,0,0,0,778.8658066,0,1239.577698,0,0,0,0,0,24784.40668,2231.41568,486.1014252,27263.72711,0,0,0,0,1038.207428,0,0,0,0,0,600.7817993,0,0,766.4258423
6.19_376.2058m/z,376.205774,1,6.186666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1134.230606,779.2132237,691.0021973,0,0,0,0,10646.86676,9861.987976,28863.46921,0,0,0,0,0,0,0,0,0,0,2291.163177,14914.06117,529.5065068,0
5.29_201.1095m/z,201.1094961,1,5.293333333,0,0,0,0,0,0,0,0,0,0,0,18179.22402,8960.107147,20291.48034,0,0,0,0,0,949.9597821,0,624.5896847,1045.648544,0,0,0,0,0,0,0,246.0036676,1349.953084,0,1562.290344,0,0,2403.425034
16.80_313.2724m/z,313.2724398,1,16.8,0,0,0,0,0,0,0,0,0,0,0,18106.84264,431.6092529,0,13251.57064,0,0,3662.899445,0,0,540.5646973,0,0,575.4864807,0,0,6691.030945,0,0,0,0,27048.64229,7054.060486,0,20456.06314,0,0
9.72_203.1788m/z,203.1787852,1,9.72,0,0,0,0,0,0,0,0,0,0,0,8397.530106,610.7621765,0,3114.818123,4467.721358,0,0,0,0,49751.09317,32245.19978,12902.11638,0,0,0,1059.181647,0,0,0,0,757.8544426,0,0,0,0,0
1.28_422.1692m/z,422.16919,1,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,508.7679443,4845.735718,1688.764984,12007.97663,0,0,0,0,0,784.0152588,0,0,0,6833.974869,44551.79792,0,0,0,531.2541809,0,0,0,0,864.2098694
6.87_191.0722m/z,191.0721661,1,6.866666667,0,0,0,0,0,0,0,0,0,0,0,5879.942001,3102.547989,5990.269792,38016.99197,35279.82565,8071.696045,0,0,0,0,0,0,633.1610413,0,0,0,0,0,0,0,0,0,395.8468628,433.4199371,0,3625.284164
1.89_199.1421m/z,199.1420623,1,1.893333333,0,0,0,0,0,0,0,0,0,0,0,1312.256317,0,2931.352389,0,0,0,0,0,0,0,5310.796561,10536.9958,0,0,0,33705.88336,54331.20735,0,0,0,922.8173031,541.9554443,15159.81109,0,0,0
11.96_475.3206m/z,475.3206481,1,11.96,0,0,0,0,0,0,0,0,0,0,0,8100.55583,4341.165131,0,18383.37386,7466.473877,0,0,0,0,0,0,0,0,0,0,0,0,11911.38488,53849.39915,0,507.3794708,591.1296692,0,66608.56996,96734.48036,0
13.03_423.3300m/z,423.3299872,1,13.02666667,0,0,0,0,0,0,0,0,0,0,0,12062.42896,0,0,1038.5951,1935.372719,0,0,0,0,0,0,0,368.2005615,0,0,17007.10245,0,1823.517914,644.714386,0,0,0,0,4268.681915,33025.88525,0
14.99_425.3470m/z,425.3469921,1,14.98666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10182.84468,1963.019897,0,22814.9357,0,0,0,0,0,114793.524,0,0,1952.418007,0,78308.08222,0,0,1315.277557,0,693.9717102,3329.028247,0,0
1.37_251.0708m/z,251.0707823,1,1.373333333,0,0,0,0,0,0,0,0,0,0,0,530.3344727,0,2220.423921,710.0085449,0,0,0,16119.78376,54519.6514,864.8418009,0,1633.366455,0,0,0,0,4199.157693,0,0,396.3795013,0,0,0,0,0,742.5117085
11.51_243.1379m/z,243.1379156,1,11.50666667,0,0,0,0,0,0,0,0,0,0,0,8167.520994,1501.056335,0,14159.28907,0,0,5138.716263,300.2177277,0,0,0,0,0,0,0,0,0,0,118985.2283,6304.268982,0,0,0,2270.183212,30551.42119,705.9927673
1.40_133.0337m/z,133.0337287,1,1.4,0,0,0,0,0,0,0,0,0,0,0,392.1038971,0,0,4403.930557,0,0,0,0,28550.02761,0,0,429.2149963,0,0,7103.125488,0,0,0,0,1416.965393,0,376.5007324,416.9142914,0,396.6118214,2721.611625
6.44_318.1688m/z,318.1687641,1,6.44,0,0,0,0,0,0,0,0,0,0,0,446.2785645,479.3959961,0,332.786377,664.1460266,0,0,0,0,0,0,0,4322.867065,0,0,0,805.9212952,0,0,0,14966.97024,0,0,591.3612061,0,30478.58305
13.25_439.3560m/z,439.3559627,1,13.25333333,0,0,0,0,0,0,0,0,0,0,0,11033.03669,0,0,6115.537415,6979.196701,0,0,0,0,0,0,0,0,0,0,75999.67963,1538.009216,4094.700516,1548.468048,0,0,0,0,1855.416809,782.1868591,0
13.11_425.3732m/z,425.3732075,1,13.10666667,0,0,0,0,0,0,0,0,0,0,0,214341.5897,0,0,14833.47394,2899.766159,0,0,0,0,0,0,398.216089,14761.24922,4728.963781,0,17672.53319,0,0,0,0,0,0,0,1403.647888,1297.693359,0
7.28_373.1935m/z,373.1934578,1,7.28,0,0,0,0,0,0,0,0,0,0,0,2236.107742,0,1108.059174,8932.03801,10583.87436,0,0,0,0,0,0,0,0,432.3916473,0,522.541214,0,0,0,0,106717.403,3052.757965,4831.918152,0,0,0
9.04_383.1351m/z,383.1351186,1,9.04,0,0,0,0,0,0,0,0,0,0,0,1278.160349,0,0,6471.748635,6680.690435,0,0,0,0,0,0,0,72937.57409,54828.79327,0,19474.24066,1069.867447,0,0,0,1882.079971,426.3716583,0,0,0,0
11.05_361.2314m/z,361.2314033,1,11.05333333,0,0,0,0,0,0,0,0,0,0,0,27215.12339,1455.166443,0,111450.4733,13093.10682,0,0,0,0,0,0,0,8471.630981,0,0,0,0,83443.72293,700.0397034,0,401.5894165,0,0,8073.799074,0,0
6.29_191.1443m/z,191.1442848,1,6.293333333,0,0,0,0,0,0,0,0,0,0,0,450.1053619,0,0,27080.52682,50117.16895,19800.92615,0,0,0,0,0,0,0,0,0,0,0,1016.981491,0,405.0753326,489.4812344,1473.86645,0,5815.258982,0,1656.158583
12.69_522.3603m/z,522.3602841,1,12.69333333,0,0,0,0,0,0,0,0,0,0,0,85868.65245,0,0,0,3186.974304,0,61599.95348,104031.6422,0,0,0,0,2753448.14,626261.1022,0,0,0,14275.26675,11640.81353,0,987.3748474,0,0,88111.19398,0,0
5.28_187.0783m/z,187.0782899,1,5.28,0,0,0,0,0,0,0,0,0,0,0,17668.52108,8873.441785,13902.10864,91.73919997,0,0,0,0,1467.912048,0,783.1756439,1490.983121,0,0,0,0,497.0529279,0,0,0,0,0,735.1980362,0,0,864.1274109
9.27_321.1212m/z,321.1212273,1,9.266666667,0,0,0,0,0,0,0,0,0,0,0,269008.2017,155771.5078,76892.17538,40460.94421,641.7277527,0,0,0,0,0,0,0,5770.298832,0,0,239966.6449,0,16780.16494,0,0,1250.985565,0,0,0,0,0
10.00_619.3822m/z,619.3822193,1,10,0,0,0,0,0,0,0,0,0,0,0,1227.937195,0,0,146047.8786,203336.2848,0,0,8619.885529,0,2777.616516,6288.564087,0,528.1450084,18205.68314,0,0,0,0,0,0,0,722.174469,0,3371.908508,0,0
5.05_443.1053m/z,443.1053493,1,5.053333333,0,0,0,0,0,0,0,0,0,0,0,771.7441711,0,795.97263,0,0,1014.899631,1424.843018,49964.71814,29453.49298,0,0,0,0,0,0,169.5393705,450.1254589,412.4356384,0,0,0,0,0,0,0,0
8.44_481.1214m/z,481.121391,1,8.44,0,0,0,0,0,0,0,0,0,0,0,20858.8557,17727.16272,31209.1563,31507.42001,9557.876313,0,0,0,0,0,0,0,1387914.779,245517.7047,0,0,0,0,0,0,1200.827406,2316.847809,696.9795532,0,0,0
1.51_404.1552m/z,404.1551808,1,1.506666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.8067017,4673.00563,6252.229227,0,0,0,0,0,0,0,109139.6546,169631.7528,0,1346.866287,0,0,1114.347786,0,0,481.0451431,0,15607.85189,31376.95289
9.63_283.0591m/z,283.0591372,1,9.626666667,0,0,0,0,0,0,0,0,0,0,0,1215.48492,0,0,0,2534.975916,0,0,0,0,0,0,0,1234.585632,0,0,191000.1465,6345.196686,0,0,0,3053.151452,7692.345697,793.9717261,0,0,617.1526124
16.13_637.4894m/z,637.4894251,1,16.13333333,0,0,0,0,0,0,0,0,0,0,0,61175.37043,0,0,0,0,0,56632.77964,4022.73468,26459.04738,1220.282532,0,0,0,0,721.5918274,678.2605896,0,0,0,0,47722.36029,641.9519653,0,864.8050537,0,0
4.36_195.1482m/z,195.1482427,1,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.4330374,0,0,0,0,0,1190.055293,0,1842.348099,0,0,0,1105.201584,5496.528913,282.0240784,0,0,7766.394674,0,584.5502014,0,276.0952401,0
3.65_162.0557m/z,162.0557202,1,3.653333333,0,0,0,0,0,0,0,0,0,0,0,354.1332397,0,305.2836304,0,0,0,0,0,0,3002.838602,0,1691.258392,0,0,0,0,0,41383.88386,8146.376068,10677.98761,0,0,0,149436.9214,91399.54111,85860.73548
10.45_423.1848m/z,423.184819,1,10.45333333,0,0,0,0,0,0,0,0,0,0,0,16965.78319,2026.210388,0,3994.104202,4503.260145,0,0,0,0,0,0,0,0,0,0,298812.1752,2377.057745,0,0,0,2053.130859,361.5325928,0,3891.579529,0,0
7.84_373.1631m/z,373.1630519,1,7.84,0,0,0,0,0,0,0,0,0,0,0,3002.709351,0,533.9540405,6285.157089,14091.636,0,0,0,0,0,0,0,0,0,0,419865.7535,42988.7121,0,0,0,8462.299128,0,3778.014996,985.2512207,0,0
9.32_221.1177m/z,221.1176946,1,9.32,0,0,0,0,0,0,0,0,0,0,0,4187.437962,0,0,3910.308457,2672.848025,0,0,0,0,0,0,0,408.0420685,0,0,867.7246094,0,0,0,0,2121.516549,1801.387262,0,249384.9902,187605.5745,68254.4023
13.63_421.3325m/z,421.3324915,1,13.62666667,0,0,0,0,0,0,0,0,0,0,0,353639.1046,26355.2771,0,10249.96425,1700.249207,0,0,0,0,0,0,0,469.3170013,0,0,2130.093033,0,936.3609619,0,0,0,1082.570496,0,0,465.0616302,0
9.15_247.1304m/z,247.1304021,1,9.146666667,0,0,0,0,0,0,0,0,0,0,0,4041.306747,0,0,1772.344731,351.8494263,0,0,0,0,0,0,0,1320.298462,0,0,2177.05952,4012.301702,0,0,0,21657.67075,586755.128,60029.70015,651.7162781,0,0
12.16_248.0604m/z,248.0604386,1,12.16,3945.806873,0,5403.901327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.36_293.1401m/z,293.1400996,1,13.36,0,0,0,0,0,0,0,0,0,0,0,1022.11301,875.6710172,0,217335.3067,34286.02481,0,0,718.0765991,0,0,0,0,0,0,0,397.2990265,0,0,1654.33391,0,410.4763794,0,0,0,4236.18812,0
11.59_349.2934m/z,349.293431,1,11.58666667,234123.4818,136582.3684,287191.7764,153531.4174,157644.2056,161473.7547,173379.7818,179738.9103,174672.9389,173301.6174,182028.6254,133549.6093,172038.5574,180255.3293,72057.48974,108606.2211,177261.4323,109774.0876,165246.3192,167370.7788,144470.709,164463.1535,166019.8615,88705.70935,119499.159,170634.8628,172549.7207,161128.52,132698.0886,159239.6528,176480.177,123155.0956,148665.6729,174416.7331,94902.02602,158053.9066,158257.8969
13.41_308.2959m/z,308.2958999,1,13.41333333,17315.69516,6409.916832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
