,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
8.40_291.1970m/z,291.1969516138,1,8.4043166667,0,5.7537747497,0,0,5625.6196597359,4273.3193027014,7464.3913745653,74418.7262980819,216929.979513382,49907.289106877,5124.7605332367,44724.7007459298,226573.33763051,2118.9883905016,4898.5117391552,15951.8981990547,61.9662745384,5229.6614448025,11665.3654504296,106733.283688937,105787.468142201,32141.2194314431,57079.0053983528,97621.6123874921,22.4843635287,3549.1010219405,60595.2318197513,27380.4373203172,10545.5712979003,36366.8611762064
1.93_342.1555m/z,342.1554909408,1,1.9342833333,107.4597531329,0,0,0,73897.1739362787,30597.5540961435,43481.5665267493,46123.0581079853,19352.7016060441,2491.7863457057,7438.3294738924,45898.9969887993,190365.677846521,65988.0744390088,232468.854470876,556802.396448643,680.0425290702,1506.1268329588,6717.6376180434,10968.3136479792,24881.4304618698,8799.3589462495,1664.3979287086,3393.1171890728,40907.2425708546,449580.817896723,691520.28133495,94937.4573557925,9112.9997704931,1529.768733376
1.06_219.0784m/z,219.0783731313,1,1.0555166667,536.1065147803,22687.8140383629,21121.4118722788,27167.7257452676,433695.803799594,197165.155723576,307344.137105111,559169.87634762,602856.143219195,492265.389902275,346363.742315209,192663.435176711,437757.786923989,544031.126336305,446280.346257208,247693.215790578,433961.729799336,254301.772904028,354145.793870262,520461.076924591,513454.145176196,572152.872215679,557171.575866134,626250.053917294,279287.010689814,294984.524388204,166079.012115199,530886.384068827,490247.705026607,466657.610284514
4.97_317.1987m/z,317.1986911331,1,4.96625,0,0,0,183.0595550537,427707.970870004,288673.564176199,607003.85288778,257728.3799174,313483.966926739,101060.867849778,14708.1005850925,24941.0321842924,38814.5938905443,70838.361978829,124271.397797631,60997.4470398606,27008.6169292083,16754.8693684996,16669.1360525432,15299.0580955351,9227.040875063,10841.0744586542,20260.4347408066,791.058227112,19505.6430232173,1493.7315225883,8968.1797085055,55982.8639675131,21.5512651277,62429.8666876198
2.21_242.1591m/z,242.1591326509,1,2.2089,0,0,0,578.2593750945,533.180543137,1401.5077972412,1884.0686566338,6442.146023998,15746.6810481489,11524.962772897,131343.77721867,498506.460079694,766644.838549089,797.9569654782,24770.0367092561,25603.9325166258,39665.4762296963,45575.2877136053,68634.0016153059,46787.9737011186,59192.1853044883,17621.7151070901,19332.2027447177,34700.9561890768,52420.619117243,36671.2650955721,67289.8432928841,58231.3704659182,63266.1001809803,97184.0973377603
1.39_527.1849m/z,527.1848615285,1,1.3850666667,0,0,617.1178281792,1489.1671213632,205336.246418586,125900.797319572,145323.757054862,23160.192345492,11367.2751905525,11919.6549034286,349049.755010554,308456.892785035,332608.669461506,431089.416785031,261514.311891395,396831.652420633,7109.4554777678,62783.6492852295,46531.8414188129,190059.487494105,254296.42331235,104205.793528115,81533.3173889117,11597.4347185023,315540.628726174,255007.965863147,449502.304001289,664591.291872895,179762.691553236,181207.800614131
1.23_258.1661m/z,258.1660852733,1,1.2312833333,0,0,0,0,10551.2224283762,114526.453512837,2126.9459740206,6362.9512527094,93322.4734450096,13135.3410030482,13559.1293529965,360536.004486086,31032.9165394401,246643.548885476,320677.054858561,303705.312312647,32894.133044172,597022.572945829,0,125119.616566045,69065.5300382409,1592.4699784334,1377.214586561,4173.4702796463,149705.518293784,175937.827005037,36251.7767878368,21187.7821655265,80801.9588611442,41219.8272490695
1.65_436.2403m/z,436.2402928018,1,1.6486833333,0,0,0,0,201662.354796798,44278.3593425072,1454.2392578126,46979.2650453755,19824.7525584161,41012.5380652958,610.4155778079,25505.3872607851,20933.6969724309,14934.5561528713,5455.0002510472,4366.0221254387,1153.9240105854,22788.1822844465,11963.5094576012,3597.9714301765,3939.0230811697,501.2875095762,4651.5354659173,17719.6590296769,4811.8350642201,781.2608650927,513.6326800544,4112.3885498047,13265.035821834,0
5.86_503.1651m/z,503.1651207505,1,5.85595,8604.8332106297,0.0134827934,0,0,278474.591090729,77615.5637702613,183130.870017127,16960.4002700997,17343.72882793,26071.1377958699,5347.3320863984,1063.4691772461,117063.861954261,3571.5966528219,6611.9037990951,9106.4701529407,107855.164999147,128608.472826952,103080.185085389,51648.5013180507,71096.0316086449,135236.434493853,70352.4954424224,110521.145617894,44156.9073612674,12640.1525286585,5685.1165138331,232665.031879186,104302.608586789,178255.836516432
1.59_442.2084m/z,442.2084225286,1,1.5937666667,0,0,0,0,18364.799936833,674.0407594177,37274.3828384664,36527.4803122037,40370.3763801296,34994.2098967141,18785.8304985752,18206.6877907638,5675.091064921,203367.368655469,39816.2580950868,37330.2898824531,12414.0914248102,11803.2042123071,10225.5384790323,3155.860691739,32131.3192900601,2591.6555699376,80.183882578,1585.3971001919,153427.203175678,19776.6282885567,39543.6171528362,12859.0777400436,5367.0801514215,1169.4014197365
