,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
1.74_124.7892m/z,124.7892478834,1,1.7420666667,0,0,0,0,490.0868211471,584.4583666038,275.3626289368,1270.2835114739,254.7830237616,307.9270821479,397.0274234263,238.6662223271,87.0451174591,878.9434540386,720.4331977487,214.8401091243,0.0505939632,236.7435338369,81.5847166058,231.8588133045,480.2012678994,59.6238883808,226.0625419617,257.6027185883,192.9006255987,251.8270936983,640.9272651672,238.3563329169,6690.3784637452,5748.647078246
6.78_343.1171m/z,343.1171254684,1,6.7841,4072.8113145404,1331.4251904013,714.529477996,1969.4382896917,266484.341073301,133017.740362565,201347.8646066,474012.070397344,623089.018421047,294189.114759635,150608.358374063,170916.092160757,324446.434394624,31632.7029650004,27255.8029754959,69445.786379166,40835.9591604983,47897.1467730921,17700.4296132312,122179.768244143,111702.844149179,263657.580357026,190286.567849586,314212.712107977,91892.9478695304,64709.2367551703,73594.0424243166,77452.7934934975,53972.2345122042,128546.801633882
1.43_549.1908m/z,549.1907990104,1,1.4345,0,5936.0049829409,0,5100.8230796868,534613.928299678,260119.656084536,379995.163070625,34999.1606312957,54874.793657683,95856.9607322569,455811.745171279,1450144.30142776,951436.720819853,458778.672455141,451999.332860995,581542.117103486,258355.707367693,464294.398179811,353677.790854443,299652.854557385,371774.06495745,585995.68173227,345951.759837183,163978.829768408,619174.147633089,401262.25941644,749381.057153105,708704.614607118,382332.920171405,317265.543658473
1.25_127.0239m/z,127.0239488287,1,1.24775,0,0,0,0,13389.1277151581,1593.9541043159,9467.9077551751,16686.1483721101,8803.6732681575,10396.1290831653,1997.5884092264,1087.2428616759,1441.2095486798,3256.6374068891,255.4324192434,3054.5155069368,2658.2864945491,1902.8764917088,2448.6161334283,681.5967222044,1185.3324486816,120.7581863403,0,142.5378570557,1210.0837675518,936.7120214441,1053.6854794019,846.0564561965,456.1570317181,262.1926734606
5.24_431.1623m/z,431.1622551624,1,5.23535,141.2917676014,0,0,0,3113.4201861565,10605.5768427188,3678.7270905706,602517.581427472,542884.452061949,480026.172990758,641.3570861816,370.2419433594,6987.9972732589,3729.6196196572,4114.0274454809,8797.4026141546,14723.3485722088,2771.8251641868,9437.8761773834,212532.151390326,157798.028826282,145934.718947587,120354.042391518,92697.2125511654,593.8619170028,2010.6133117676,4682.2628509148,200913.786265776,95843.3905062312,93052.0423656498
1.26_533.1968m/z,533.1967941125,1,1.2587333333,6082.2467180382,375.6309871077,0,0,1550463.89933663,941734.683328972,1082215.52334096,807624.327620997,1926142.7689671,723194.467660149,110230.83865345,61113.9285068184,57523.1535698898,147620.379698937,72598.9922836627,111329.697558141,66897.3838937012,228351.739385567,262356.250844057,37855.8410060092,31652.4759693608,31526.8075721492,26630.2593015327,15042.1397861715,401835.816891236,159889.933647922,257052.136571866,113844.14694487,40259.6633797145,56170.1598677605
7.92_327.1894m/z,327.1893648404,1,7.9155,21503.0788727713,761.9219102392,5603.0333629641,2388.586343205,303043.618600001,170015.250292185,250701.87567937,1525758.97176089,1728379.64038463,711769.910101478,211961.937017524,159464.602866451,409387.61174108,79518.3389499099,112254.310085687,100310.226154023,131641.777072228,102714.074717221,181691.167452931,73327.3558574068,50553.9397201676,675115.008348425,426067.161926061,665121.013091421,222156.271882872,123873.876270923,236574.01872282,600103.083052236,429244.514153223,664640.837659935
8.71_329.1736m/z,329.173578929,1,8.7064,29286.9003877174,4768.5767422494,2166.0344912193,1085.6323724775,393431.404645747,187597.43623544,234573.541591206,319997.97153412,329146.1433684,92655.5094264021,88073.291872595,72836.0754269878,119556.255291518,91575.9553544928,81978.6407729852,72389.8244597745,109859.568765635,69932.5330786699,110435.763075161,64333.0039369696,44488.396913652,530275.03868328,335871.993875502,541606.02664984,354259.588852565,158879.556232372,479294.954770361,430599.363080327,259582.961994255,376157.723901861
2.03_243.0622m/z,243.0622302004,1,2.0276666667,0,0,0,116.9180719051,94879.6158782962,86181.4799341066,133169.798194634,16627.1650123528,44068.6923243883,30162.2686793397,5565.3580535283,39756.82946094,276980.069376995,43627.9571687404,56344.8975537843,64430.6688177196,27816.4919703123,23845.9364542257,185040.92207086,87772.4213312559,125049.773855595,80137.671482047,45196.0381847549,67672.7068151363,5721.6037707832,10913.5677601528,43839.2856859238,6042.3815937535,21912.7194236474,87760.0484118597
3.85_299.1063m/z,299.1062899495,1,3.8512666667,0,0,121.148919797,116.9450466963,905.4360502596,2209.3319966289,4249.7505667987,71764.2255542156,77851.6229240946,52350.7272379623,22087.3651538653,29536.5504593901,1597.0067982725,3090.7443578095,1077.8794567432,4332.5340893227,47580.6808795851,49931.1425103819,51581.3068171074,58791.1580338781,65964.5922627061,85330.6015144244,75053.779965769,101422.572471078,31069.2349297873,1015.6407541307,18025.8273661062,423347.605241641,415168.849838192,574715.26331969
1.21_164.9386m/z,164.9385802555,1,1.2148,0,378.1379394531,1323.6682052612,2423.0898971557,156821.133317492,91067.2558547852,132050.628488473,102980.281555175,61052.8639451971,97489.4585225414,82062.5859870924,87138.9365380618,61372.7614603069,66567.9252218624,19726.1840100766,42658.9051047221,33048.3677281901,37277.8031617441,46074.3626116784,60377.646654017,97746.9679400368,85696.1999959799,49789.2862168617,70225.5582900062,38371.200063349,12011.3156890817,24356.2044971844,219509.240413884,202886.636887301,208509.755940658
